域名	解析IP	开放端口	WEB服务器	网站状态
help.wps.cn	120.131.8.156	80	-	80:(404) 未找到
community.wps.cn	120.132.71.20	80	KSOWS	80:(403) 已禁止
xlive.wps.cn	114.112.66.22	-	端口未开放	端口未开放
zdm.wps.cn	114.112.66.153	80	nginx	80:(403) 已禁止
dl.pcmail.cache.wps.cn	115.231.28.221,115.231.82.90	80,443	KSOWS	80:(403) 已禁止
www.wps.cn	120.92.85.51	80,443	CLOUD ELB 1.0.0	80:正常访问
account.wps.cn	114.112.66.248,114.112.66.246,114.112.66.249	80,443	openresty/2.18.5.3	80:正常访问
d.wps.cn	120.92.5.130	80,443		80:正常访问
f.wps.cn	120.92.15.198	80,443	CLOUD ELB 1.0.0	80:正常访问
k.wps.cn	114.112.66.22	-	端口未开放	端口未开放
op.wps.cn	114.112.66.34	80,443	openresty	80:正常访问
p.wps.cn	120.92.43.92	80,443	nginx/1.10.2	80:正常访问
blog.wps.cn	114.112.66.156	80	KSOWS	80:正常访问
u.wps.cn	183.61.70.159	80	nginx/0.7.67	80:(403) 已禁止
r.wps.cn	114.112.66.123	80,443	openresty/1.11.2.3	80:(404) 未找到
kup.wps.cn	42.62.61.15	-	端口未开放	端口未开放
kmsg.wps.cn	42.62.61.15	-	端口未开放	端口未开放
cc.wps.cn	120.92.208.117	80	nginx/1.15.3	80:正常访问
mail.wps.cn	120.92.90.77	80,443	CLOUD ELB 1.0.0	80:正常访问
a.wps.cn	58.68.150.251	-	端口未开放	端口未开放
mini.wps.cn	120.92.20.54	80,443	CLOUD ELB 1.0.0	80:正常访问
